nces_id,name,state,enrollment
0200800,Chugach School District,AK,617
0200810,Wrangell Public School District,AK,264
0200840,Yakutat School District,AK,95
0200862,Yukon-Koyukuk School District,AK,4024
0400001,Cave Creek Unified District (4244),AZ,3821
0400003,Chino Valley Unified District (4474),AZ,2227
0400004,Clarkdale-Jerome Elementary District (4486),AZ,459
0400005,Salome Consolidated Elementary District (4514),AZ,119
0400021,Colorado City Unified District (4370),AZ,544
0400022,Vernon Elementary District (4162),AZ,138
0400023,Pinon Unified District (4390),AZ,1019
0400026,Heber-Overgaard Unified District (4392),AZ,490
0400082,Colorado River Union High School District (4381),AZ,1847
0400163,Coconino County Accommodation School District (10386),AZ,151
0400212,Benson Unified School District (79226),AZ,1287
0400295,Kingman Unified School District (79598),AZ,6996
0400315,Yavapai Accommodation School District (79379),AZ,71
0400419,Gila County Regional School District (87600),AZ,10
0400450,Agua Fria Union High School District (4289),AZ,10089
0400480,Aguila Elementary District (4249),AZ,141
0400520,Ajo Unified District (4409),AZ,397
0400600,Alhambra Elementary District (4280),AZ,9742
0400630,Alpine Elementary District (4161),AZ,56
0400680,Amphitheater Unified District (4406),AZ,11277
0400720,Antelope Union High School District (4506),AZ,199
0400750,Apache Elementary District (4178),AZ,6
0400790,Apache Junction Unified District (4443),AZ,2440
0400840,Arlington Elementary District (4274),AZ,297
0400870,Ash Creek Elementary District (4187),AZ,29
0400910,Ash Fork Joint Unified District (4471),AZ,293
0400960,Avondale Elementary District (4272),AZ,6000
0401000,Bagdad Unified District (4468),AZ,517
0401015,Cochise County Accommodation School District (1001687),AZ,311
0401050,Balsz Elementary District (4268),AZ,1936
0401080,Beaver Creek Elementary District (4481),AZ,331
0401160,Bicentennial Union High School District (4515),AZ,120
0401180,Bisbee Unified District (4169),AZ,622
0401230,Blue Elementary District (4231),AZ,13
0401260,Bonita Elementary District (4224),AZ,94
0401290,Bouse Elementary District (4513),AZ,52
0401330,Bowie Unified District (4171),AZ,73
0401380,Buckeye Elementary District (4269),AZ,6221
0401410,Buckeye Union High School District (4284),AZ,5650
0401460,Sierra Vista Unified District (4175),AZ,4043
0401500,Bullhead City School District (4378),AZ,2191
0401600,Camp Verde Unified District (4470),AZ,1615
0401650,Canon Elementary District (4484),AZ,117
0401680,Cartwright Elementary District (4282),AZ,13436
0401710,Casa Grande Elementary District (4446),AZ,6630
0401740,Casa Grande Union High School District (4453),AZ,3938
0401760,Catalina Foothills Unified District (4410),AZ,5088
0401810,Cedar Unified District (4395),AZ,142
0401870,Chandler Unified District #80 (4242),AZ,41421
0401940,Chinle Unified District (4158),AZ,2910
0402130,Cochise Elementary District (4177),AZ,76
0402190,Concho Elementary District (4160),AZ,129
0402220,Congress Elementary District (4479),AZ,122
0402250,Continental Elementary District (4416),AZ,643
0402320,Coolidge Unified District (4442),AZ,2815
0402370,Cottonwood-Oak Creek Elementary District (4487),AZ,1765
0402400,Crane Elementary District (4501),AZ,5727
0402430,Creighton Elementary District (4263),AZ,4835
0402460,Crown King Elementary District (4483),AZ,9
0402480,Graham County Special Services (4217),AZ,64
0402490,Double Adobe Elementary District (4179),AZ,23
0402530,Douglas Unified District (4174),AZ,3608
0402600,Duncan Unified District (4228),AZ,369
0402690,Dysart Unified District (4243),AZ,23078
0402740,Mary C O'Brien Accommodation District (4435),AZ,198
0402760,Elfrida Elementary District (4185),AZ,126
0402790,Eloy Elementary District (4448),AZ,694
0402860,Flagstaff Unified District (4192),AZ,8595
0402920,Florence Unified School District (4437),AZ,8731
0403010,Flowing Wells Unified District (4405),AZ,5225
0403040,Fountain Hills Unified District (4247),AZ,1072
0403060,Fowler Elementary District (4273),AZ,3645
0403080,Fredonia-Moccasin Unified District (4195),AZ,132
0403150,Fort Huachuca Accommodation District (4167),AZ,774
0403200,Fort Thomas Unified District (4221),AZ,638
0403240,Gadsden Elementary District (4505),AZ,5196
0403290,Ganado Unified School District (4157),AZ,980
0403310,Gila Bend Unified District (4238),AZ,481
0403400,Gilbert Unified District (4239),AZ,31560
0403420,Glendale Elementary District (4271),AZ,8580
0403450,Glendale Union High School District (4285),AZ,16092
0403500,Globe Unified District (4208),AZ,1644
0403550,Grand Canyon Unified District (4194),AZ,258
0403660,Hackberry School District (4371),AZ,40
0403730,Hayden-Winkelman Unified District (4212),AZ,306
0403780,Higley Unified School District (4248),AZ,12387
0403820,Holbrook Unified District (4389),AZ,1806
0403870,Humboldt Unified District (4469),AZ,5159
0403900,Hyder Elementary District (4502),AZ,88
0403950,Baboquivari Unified School District #40 (4412),AZ,1018
0403960,Isaac Elementary District (4259),AZ,4929
0403990,J O Combs Unified School District (4445),AZ,3934
0404010,Joseph City Unified District (4388),AZ,415
0404060,Kayenta Unified School District #27 (4396),AZ,1544
0404170,Kirkland Elementary District (4480),AZ,66
0404230,Kyrene Elementary District (4267),AZ,13313
0404280,Lake Havasu Unified District (4368),AZ,5228
0404290,Laveen Elementary District (4276),AZ,8111
0404320,Liberty Elementary District (4266),AZ,4547
0404380,Litchfield Elementary District (4281),AZ,10755
0404410,Littlefield Unified District (4374),AZ,324
0404440,Littleton Elementary District (4278),AZ,6206
0404500,Madison Elementary District (4270),AZ,5864
0404530,Maine Consolidated School District (4199),AZ,134
0404570,Mammoth-San Manuel Unified District (4439),AZ,473
0404630,Marana Unified District (4404),AZ,12845
0404720,Maricopa Unified School District (4441),AZ,9568
0404770,Altar Valley Elementary District (4418),AZ,479
0404820,Mayer Unified School District (4473),AZ,545
0404860,Mcnary Elementary District (4163),AZ,183
0404920,McNeal Elementary District (4181),AZ,31
0404970,Mesa Unified District (4235),AZ,55821
0405030,Miami Unified District (4211),AZ,929
0405070,Mingus Union High School District (4488),AZ,1202
0405100,Mobile Elementary District (4253),AZ,28
0405190,Mohave Valley Elementary District (4379),AZ,1241
0405220,Mohawk Valley Elementary District (4503),AZ,156
0405320,Morenci Unified District (4230),AZ,1536
0405340,Morristown Elementary District (4251),AZ,116
0405360,Pima County Accommodation School District (4401),AZ,2112
